Reference Point Name,Volttron Point Name,Units,Units Details,Modbus Register,Writable,Point Address,Notes
SCT9,SCT9,Kw,0.00-2000.00,>h,TRUE,60,CO2 Reading 0.00-2000.0
SCT10,SCT10,Kw,0.00-2000.00,>h,TRUE,61,CO2 Reading 0.00-2000.0
SCBKR,SCBKR,Kw,0.00-2000.00,>h,TRUE,62,CO2 Reading 0.00-2000.0
P1P,P1P,Kw,0.00-2000.00,>h,TRUE,64,CO2 Reading 0.00-2000.0
P1Q,P1Q,Kw,0.00-2000.00,>h,TRUE,65,CO2 Reading 0.00-2000.0
P1Vrms,P1Vrms,Kw,0.00-2000.00,>h,TRUE,66,CO2 Reading 0.00-2000.0
P1Freq,P1Freq,Kw,0.00-2000.00,>h,TRUE,67,CO2 Reading 0.00-2000.0
PPT1,PPT1,Kw,0.00-2000.00,>h,TRUE,68,CO2 Reading 0.00-2000.0
PPT2,PPT2,Kw,0.00-2000.00,>h,TRUE,69,CO2 Reading 0.00-2000.0
PPT3,PPT3,Kw,0.00-2000.00,>h,TRUE,70,CO2 Reading 0.00-2000.0
PPT4,PPT4,Kw,0.00-2000.00,>h,TRUE,71,CO2 Reading 0.00-2000.0
PPT5,PPT5,Kw,0.00-2000.00,>h,TRUE,72,CO2 Reading 0.00-2000.0
PPT6,PPT6,Kw,0.00-2000.00,>h,TRUE,73,CO2 Reading 0.00-2000.0
PPT7,PPT7,Kw,0.00-2000.00,>h,TRUE,74,CO2 Reading 0.00-2000.0
PPT8,PPT8,Kw,0.00-2000.00,>h,TRUE,75,CO2 Reading 0.00-2000.0
PPT9,PPT9,Kw,0.00-2000.00,>h,TRUE,76,CO2 Reading 0.00-2000.0
PPT10,PPT10,Kw,0.00-2000.00,>h,TRUE,77,CO2 Reading 0.00-2000.0
AheadPPT1,AheadPPT1,Kw,0.00-2000.00,>h,TRUE,78,CO2 Reading 0.00-2000.0
AheadPPT2,AheadPPT2,Kw,0.00-2000.00,>h,TRUE,79,CO2 Reading 0.00-2000.0
AheadPPT3,AheadPPT3,Kw,0.00-2000.00,>h,TRUE,80,CO2 Reading 0.00-2000.0
AheadPPT4,AheadPPT4,Kw,0.00-2000.00,>h,TRUE,81,CO2 Reading 0.00-2000.0
AheadPPT5,AheadPPT5,Kw,0.00-2000.00,>h,TRUE,82,CO2 Reading 0.00-2000.0
AheadPPT6,AheadPPT6,Kw,0.00-2000.00,>h,TRUE,83,CO2 Reading 0.00-2000.0
AheadPPT7,AheadPPT7,Kw,0.00-2000.00,>h,TRUE,84,CO2 Reading 0.00-2000.0
AheadPPT8,AheadPPT8,Kw,0.00-2000.00,>h,TRUE,85,CO2 Reading 0.00-2000.0
AheadPPT9,AheadPPT9,Kw,0.00-2000.00,>h,TRUE,86,CO2 Reading 0.00-2000.0
AheadPPT10,AheadPPT10,Kw,0.00-2000.00,>h,TRUE,87,CO2 Reading 0.00-2000.0
CMDPT1,CMDPT1,Kw,0.00-2000.00,>h,TRUE,88,CO2 Reading 0.00-2000.0
CMDPT2,CMDPT2,Kw,0.00-2000.00,>h,TRUE,89,CO2 Reading 0.00-2000.0
CMDPT3,CMDPT3,Kw,0.00-2000.00,>h,TRUE,90,CO2 Reading 0.00-2000.0
CMDPT4,CMDPT4,Kw,0.00-2000.00,>h,TRUE,91,CO2 Reading 0.00-2000.0
CMDPT5,CMDPT5,Kw,0.00-2000.00,>h,TRUE,92,CO2 Reading 0.00-2000.0
CMDPT6,CMDPT6,Kw,0.00-2000.00,>h,TRUE,93,CO2 Reading 0.00-2000.0
CMDPT7,CMDPT7,Kw,0.00-2000.00,>h,TRUE,94,CO2 Reading 0.00-2000.0
CMDPT8,CMDPT8,Kw,0.00-2000.00,>h,TRUE,95,CO2 Reading 0.00-2000.0
CMDPT9,CMDPT9,Kw,0.00-2000.00,>h,TRUE,96,CO2 Reading 0.00-2000.0
CMDPT10,CMDPT10,Kw,0.00-2000.00,>h,TRUE,97,CO2 Reading 0.00-2000.0
CMDPBRK,CMDPBRK,Kw,0.00-2000.00,>h,TRUE,98,CO2 Reading 0.00-2000.0
P-PUT,P-PUT,Kw,0.00-2000.00,>h,TRUE,99,CO2 Reading 0.00-2000.0
Ahead-PUT,Ahead-PUT,Kw,0.00-2000.00,>h,TRUE,100,CO2 Reading 0.00-2000.0
Fcst-PBuilding,Fcst-PBuilding,Kw,0.00-2000.00,>h,TRUE,101,CO2 Reading 0.00-2000.0
CMDPT10_P,CMDPT10_P,Kw,0.00-2000.00,>h,TRUE,102,CO2 Reading 0.00-2000.0
SPT1,SPT1,Kw,0.00-2000.00,>h,TRUE,103,CO2 Reading 0.00-2000.0
SPT2,SPT2,Kw,0.00-2000.00,>h,TRUE,104,CO2 Reading 0.00-2000.0
SPT3,SPT3,Kw,0.00-2000.00,>h,TRUE,105,CO2 Reading 0.00-2000.0
SPT4,SPT4,Kw,0.00-2000.00,>h,TRUE,106,CO2 Reading 0.00-2000.0
SPT5,SPT5,Kw,0.00-2000.00,>h,TRUE,107,CO2 Reading 0.00-2000.0
SPT6,SPT6,Kw,0.00-2000.00,>h,TRUE,108,CO2 Reading 0.00-2000.0
SPT7,SPT7,Kw,0.00-2000.00,>h,TRUE,109,CO2 Reading 0.00-2000.0
SPT8,SPT8,Kw,0.00-2000.00,>h,TRUE,110,CO2 Reading 0.00-2000.0
SPT9,SPT9,Kw,0.00-2000.00,>h,TRUE,111,CO2 Reading 0.00-2000.0
SPT10,SPT10,Kw,0.00-2000.00,>h,TRUE,112,CO2 Reading 0.00-2000.0
SPBKR,SPBKR,Kw,0.00-2000.00,>h,TRUE,113,CO2 Reading 0.00-2000.0
SPT10_P,SPT10_P,Kw,0.00-2000.00,>h,TRUE,114,CO2 Reading 0.00-2000.0
